,Position,Abbreviation,TeamName,Time,Status,GrandPrix
81,1.0,PIA,McLaren,0 days 01:35:39.435000,Finished,Bahrain Grand Prix
4,3.0,NOR,McLaren,0 days 00:00:16.273000,Finished,Bahrain Grand Prix
