,Driver,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,GrandPrix
20,PIA,2.0,0 days 00:01:28.019000,0 days 00:00:32.028000,0 days 00:00:27.771000,0 days 00:00:28.220000,Saudi Arabian Grand Prix
23,PIA,5.0,0 days 00:01:27.901000,0 days 00:00:31.901000,0 days 00:00:27.710000,0 days 00:00:28.290000,Saudi Arabian Grand Prix
26,PIA,8.0,0 days 00:01:27.690000,0 days 00:00:32.001000,0 days 00:00:27.654000,0 days 00:00:28.035000,Saudi Arabian Grand Prix
29,PIA,11.0,0 days 00:01:27.545000,0 days 00:00:31.801000,0 days 00:00:27.713000,0 days 00:00:28.031000,Saudi Arabian Grand Prix
32,PIA,14.0,0 days 00:01:27.560000,0 days 00:00:31.885000,0 days 00:00:27.624000,0 days 00:00:28.051000,Saudi Arabian Grand Prix
35,PIA,17.0,0 days 00:01:27.304000,0 days 00:00:31.630000,0 days 00:00:27.685000,0 days 00:00:27.989000,Saudi Arabian Grand Prix
171,NOR,2.0,0 days 00:01:28.026000,0 days 00:00:31.966000,0 days 00:00:27.831000,0 days 00:00:28.229000,Saudi Arabian Grand Prix
174,NOR,5.0,0 days 00:01:27.805000,0 days 00:00:31.801000,0 days 00:00:27.831000,0 days 00:00:28.173000,Saudi Arabian Grand Prix
177,NOR,8.0,0 days 00:01:27.481000,0 days 00:00:31.745000,0 days 00:00:27.684000,0 days 00:00:28.052000,Saudi Arabian Grand Prix
