,Position,Abbreviation,TeamName,Time,Status,GrandPrix
81,1.0,PIA,McLaren,0 days 01:30:55.026000,Finished,Chinese Grand Prix
4,2.0,NOR,McLaren,0 days 00:00:09.748000,Finished,Chinese Grand Prix
