,Position,Abbreviation,TeamName,Time,Status,GrandPrix
81,1.0,PIA,McLaren,0 days 01:21:06.758000,Finished,Saudi Arabian Grand Prix
4,4.0,NOR,McLaren,0 days 00:00:09.196000,Finished,Saudi Arabian Grand Prix
