,Position,Abbreviation,TeamName,Q1,Q2,Q3,GrandPrix
4,2.0,NOR,McLaren,0 days 00:01:26.955000,0 days 00:01:26.499000,0 days 00:01:26.269000,Miami Grand Prix
81,4.0,PIA,McLaren,0 days 00:01:27.006000,0 days 00:01:26.269000,0 days 00:01:26.375000,Miami Grand Prix
