,Position,Abbreviation,TeamName,Q1,Q2,Q3,GrandPrix
4,1.0,NOR,McLaren,0 days 00:01:15.912000,0 days 00:01:15.415000,0 days 00:01:15.096000,Australian Grand Prix
81,2.0,PIA,McLaren,0 days 00:01:16.062000,0 days 00:01:15.468000,0 days 00:01:15.180000,Australian Grand Prix
