,Driver,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,GrandPrix
1,PIA,2.0,0 days 00:01:31.392000,0 days 00:00:29.287000,0 days 00:00:39.300000,0 days 00:00:22.805000,Bahrain Grand Prix
7,PIA,8.0,0 days 00:01:30.454000,0 days 00:00:28.883000,0 days 00:00:38.853000,0 days 00:00:22.718000,Bahrain Grand Prix
10,PIA,11.0,0 days 00:01:30.233000,0 days 00:00:28.902000,0 days 00:00:38.771000,0 days 00:00:22.560000,Bahrain Grand Prix
13,PIA,14.0,0 days 00:01:29.841000,0 days 00:00:28.784000,0 days 00:00:38.574000,0 days 00:00:22.483000,Bahrain Grand Prix
91,NOR,2.0,0 days 00:01:31.107000,0 days 00:00:29.173000,0 days 00:00:39.194000,0 days 00:00:22.740000,Bahrain Grand Prix
97,NOR,8.0,0 days 00:01:30.560000,0 days 00:00:28.923000,0 days 00:00:38.971000,0 days 00:00:22.666000,Bahrain Grand Prix
100,NOR,11.0,0 days 00:01:31.101000,0 days 00:00:29.193000,0 days 00:00:39.207000,0 days 00:00:22.701000,Bahrain Grand Prix
103,NOR,14.0,0 days 00:01:30.396000,0 days 00:00:28.800000,0 days 00:00:38.990000,0 days 00:00:22.606000,Bahrain Grand Prix
106,NOR,17.0,0 days 00:01:30.267000,0 days 00:00:29.007000,0 days 00:00:38.678000,0 days 00:00:22.582000,Bahrain Grand Prix
