,Position,Abbreviation,TeamName,Time,Status,GrandPrix
4,1.0,NOR,McLaren,0 days 01:42:06.304000,Finished,Australian Grand Prix
81,9.0,PIA,McLaren,0 days 00:00:20.448000,Finished,Australian Grand Prix
