,Position,Abbreviation,TeamName,Time,Status,GrandPrix
81,1.0,PIA,McLaren,0 days 01:28:51.587000,Finished,Miami Grand Prix
4,2.0,NOR,McLaren,0 days 00:00:04.630000,Finished,Miami Grand Prix
