,Position,Abbreviation,TeamName,Q1,Q2,Q3,GrandPrix
81,2.0,PIA,McLaren,0 days 00:01:27.901000,0 days 00:01:27.545000,0 days 00:01:27.304000,Saudi Arabian Grand Prix
4,10.0,NOR,McLaren,0 days 00:01:27.805000,0 days 00:01:27.481000,,Saudi Arabian Grand Prix
