,Position,Abbreviation,TeamName,Q1,Q2,Q3,GrandPrix
81,1.0,PIA,McLaren,0 days 00:01:31.392000,0 days 00:01:30.454000,0 days 00:01:29.841000,Bahrain Grand Prix
4,6.0,NOR,McLaren,0 days 00:01:31.107000,0 days 00:01:30.560000,0 days 00:01:30.267000,Bahrain Grand Prix
